Start_Index,Act_No,Title_EN,Title_BM,Royal_Assent_Date,Publication_Date,Commencement_Date,Commencement_Remark,PDF_URL
169,A1597,SERVICE TAX (AMENDMENT) ACT 2019,AKTA CUKAI PERKHIDMATAN (PINDAAN) 2019,28/06/2019,09/07/2019,,"REFER P.U. (B) 426/2019, 1-1-2020 AS THE DATE ON WHICH PARAGRAPHS 3 (a) AND 3 (d) OF THE ACT COME INTO OPERATION [P.U. (B) 660/2019]",https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190709_A1597_BI_Act A1597 BI.pdf
170,A1596,SALES TAX (AMENDMENT) ACT 2019,AKTA  CUKAI JUALAN (PINDAAN) 2019,28/06/2019,09/07/2019,,1-1-2020 [P.U. (B) 659/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190709_A1596_BI_Act A1596 BI.pdf
171,A1595,FREE ZONES (AMENDMENT) ACT 2019,AKTA  ZON BEBAS (PINDAAN) 2019,28/06/2019,09/07/2019,,1-1-2020 [P.U. (B) 662/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1695997_BI/ACT A1595.pdf
172,A1594,EXCISE (AMENDMENT) ACT 2019,AKTA EKSAIS (PINDAAN) 2019,28/06/2019,09/07/2019,,1-1-2020 [P.U. (B) 665/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190709_1594_BI_Act A1594 BI.pdf
173,A1593,CUSTOMS (AMENDMENT) ACT 2019,AKTA KASTAM (PINDAAN) 2019,29/06/2019,09/07/2019,,1-1-2020 [P.U. (B) 666/2019 - except section 69],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190709_1593_BI_A1593 BI.pdf
174,A1592,ADMINISTRATION OF ISLAMIC LAW(FEDERAL TERRITORIES) (AMENDMENT) ACT 2019,AKTA PENTADBIRAN UNDANG-UNDANG ISLAM (WILAYAH-WILAYAH PERSEKUTUAN) (PINDAAN) 2019,29/05/2019,31/05/2019,01/06/2025,,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190531_A1592_BI_A1592 BI.pdf
175,A1591,CIVIL LAW (AMENDMENT) ACT 2019,AKTA UNDANG-UNDANG SIVIL (PINDAAN) 2019,29/05/2019,31/05/2019,,1-9-2019 [P.U. (B) 330/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190531_A1591_BI_A1591 BI.pdf
176,A1590,SUPPLEMENTARY SUPPLY (2018) ACT 2019,AKTA PERBEKALAN TAMBAHAN (2018) 2019,29/05/2019,31/05/2019,,1 Jun 2019,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190531_1590_BI_A1590 BI.pdf
177,A1589,CO-OPERATIVE COLLEGE (INCORPORATION) (AMENDMENT) ACT 2019,AKTA MAKTAB KERJASAMA (PEMERBADANAN) (PINDAAN) 2019,14/03/2019,20/03/2019,,"Part II of this Act is deemed to have come into operation on 1-9-2011

Part III and IV - 3-5-2019 [P.U. (B) 234/2019]",https://lom.agc.gov.my/upload/portal/akta/outputaktap/1695991_BI/ACT A1589.pdf
178,A1588,"STREET, DRAINAGE AND BUILDING (AMENDMENT) ACT 2019","AKTA JALAN, PARIT DAN BANGUNAN (PINDAAN) 2019",22/01/2019,25/01/2019,,27-12-2019 [P.U. (B) 621/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1695990_BI/ACT A1588.pdf
179,A1587,HIRE-PURCHASE (AMENDMENT) ACT 2019,AKTA SEWA BELI (PINDAAN) 2019,14/01/2019,18/01/2019,,1-3-2019 [P.U. (B) 117/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190118_A1587_BI_BI.pdf
180,A1586,CHILDREN AND YOUNG PERSONS (EMPLOYMENT) (AMENDMENT) ACT 2019,AKTA KANAK-KANAK DAN ORANG MUDA (PEKERJAAN) (PINDAAN) 2019,14/01/2019,18/01/2019,,1-2-2019 [P.U. (B) 62/2019,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190118_A1586_BI_BI.pdf
181,A1586,CHILDREN AND YOUNG PERSONS (EMPLOYMENT) (AMENDMENT) ACT 2019,AKTA KANAK-KANAK DAN ORANG MUDA (PEKERJAAN) (PINDAAN) 2019,14/01/2019,18/01/2019,,1-2-2019 [P.U. (B) 62/2019,https://lom.agc.gov.my/upload/portal/akta/outputaktap/A1586 BI (1).pdf
182,A1585,ROAD TRANSPORT (AMENDMENT) ACT 2019,AKTA PENGANGKUTAN JALAN (PINDAAN) 2019,14/01/2019,18/01/2019,,1-3-2019 [P.U. (B) 113/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1695987_BI/ACT A1585.pdf
183,A1585,ROAD TRANSPORT (AMENDMENT) ACT 2019,AKTA PENGANGKUTAN JALAN (PINDAAN) 2019,14/01/2019,18/01/2019,,1-3-2019 [P.U. (B) 113/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/13.ACT A1585.pdf
184,A1585,ROAD TRANSPORT (AMENDMENT) ACT 2019,AKTA PENGANGKUTAN JALAN (PINDAAN) 2019,14/01/2019,18/01/2019,,1-3-2019 [P.U. (B) 113/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1695987_BI/ACT A1585.pdf
185,A1585,ROAD TRANSPORT (AMENDMENT) ACT 2019,AKTA PENGANGKUTAN JALAN (PINDAAN) 2019,14/01/2019,18/01/2019,,1-3-2019 [P.U. (B) 113/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/13.ACT A1585.pdf
186,A1584,EDUCATIONAL INSTITUTIONS (DISCIPLINE) (AMENDMENT) ACT 2019,AKTA INSTITUSI-INSTITUSI PELAJARAN (TATATERTIB) (PINDAAN) 2019,14/01/2019,18/01/2019,,15-3-2019 [P.U. (B) 133/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1695986_BI/ACT_A1584.pdf
187,A1583,PRIVATE HIGHER EDUCATIONAL INSTITUTIONS (AMENDMENT) ACT 2019,AKTA INSTITUSI PENDIDIKAN TINGGI SWASTA (PINDAAN) 2019,14/01/2019,18/01/2019,,15-3-2019 [P.U. (B) 132/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20190118_A1583_BI_BI.pdf
188,A1582,UNIVERSITIES AND UNIVERSITY COLLEGES (AMENDMENT) ACT 2019,AKTA UNIVERSITI DAN KOLEJ UNIVERSITI (PINDAAN) 2019,14/01/2019,18/01/2019,,15-3-2019 [P.U. (B) 131/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1695984_BI/07. A1582 2019_unlocked.pdf
189,A1581,EXCISE (AMENDMENT) ACT 2018,AKTA EKSAIS (PINDAAN) 2018,26/12/2018,28/12/2018,,2-1-2019 [P.U. (B) 7/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20181228_A1581_BI_A1581 BI.pdf
190,A1580,CUSTOMS (AMENDMENT) (NO. 2) ACT 2018,AKTA KASTAM (PINDAAN) (NO. 2) 2018,26/12/2018,28/12/2018,,2-1-2019 [P.U. (B) 6/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20181228_1580_BI_A1580 BI.pdf
191,A1579,SERVICE TAX (AMENDMENT) ACT 2018,AKTA CUKAI PERKHIDMATAN (PINDAAN) 2018,26/12/2018,28/12/2018,,2-1-2019 [P.U. (B) 5/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20181228_1579_BI_A1579 BI.pdf
192,A1578,SALES TAX (AMENDMENT) ACT 2018,AKTA CUKAI JUALAN (PINDAAN) 2018,26/12/2018,28/12/2018,,2-1-2019 [P.U. (B) 4/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20181228_1578_BI_A1578 BI.pdf
193,A1577,LABUAN BUSINESS ACTIVITY TAX (AMENDMENT) ACT 2018,AKTA CUKAI AKTIVITI PERNIAGAAN LABUAN (PINDAAN) 2018,26/12/2018,27/12/2018,,28-12-2018,https://lom.agc.gov.my/upload/portal/akta/outputaktap/1695978_BI/18. Act A1577_unlocked.pdf
194,A1576,INCOME TAX (AMENDMENT) ACT 2018,AKTA CUKAI PENDAPATAN (PINDAAN) 2018,26/12/2018,27/12/2018,,[Refer Act],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1695977_BI/ACT A1576.pdf
195,A1575,SUPPLY ACT 2019,AKTA PERBEKALAN 2019,26/12/2018,27/12/2018,,28-12-2018,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20181227_A1575_BI_Act A1575 BI.pdf
196,A1574,LAND PUBLIC TRANSPORT (AMENDMENT) ACT 2018,AKTA PENGANGKUTAN AWAM DARAT (PINDAAN) 2018,10/12/2018,13/12/2018,,1-1-2019 [P.U. (B) 733/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20181213_A1574_BI_WJW000000 BI.pdf
197,A1573,SUPPLY (REALLOCATION OF APPROPRIATED EXPENDITURE) ACT 2018,AKTA PERBEKALAN (PENGUNTUKAN SEMULA PERUNTUKAN PERBELANJAAN) 2018,14/09/2018,21/09/2018,,"deemed to have come into operation 
on 2 July 2018",https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180921_1573_BI_WJW011765 BI.pdf
198,A1572,FREE ZONES (AMENDMENT) ACT 2018,AKTA ZON BEBAS (PINDAAN) 2018,24/08/2018,28/08/2018,,1-9-2018 [P.U. (B) 512/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/1695969_BI/ACT A1572.pdf
199,A1571,CUSTOMS (AMENDMENT) ACT 2018,AKTA KASTAM (PINDAAN) 2018,24/08/2018,28/08/2018,,1-9-2018 [P.U. (B) 511/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180828_AKTA_A1571_BI.pdf
200,A1570,SPORTS DEVELOPMENT (AMENDMENT) ACT 2018,AKTA PEMBANGUNAN SUKAN (PINDAAN) 2018,06/06/2018,11/06/2018,,1-3-2019 [P.U.(B)116/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180611_1570_BI_WJW011025 BI.pdf
201,A1569,ARBITRATION (AMENDMENT) (NO. 2) ACT 2018,AKTA TIMBANG TARA (PINDAAN) (NO. 2) 2018,27-04-2018,04/05/2018,8-5-2018 [P.U. (B) 265/2018],08/05/2018 [P.U.(B) 265/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/Act A1569- 2018 (2).pdf
202,A1568,FIRE SERVICES (AMENDMENT) 2018,AKTA PERKHIDMATAN BOMBA (PINDAAN) 2018,2018-04-27,04/05/2018,,1/9/2018 [P.U. (B) 505/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180504_A1568_BI_Act A1568.pdf
203,A1567,MALAYSIAN ANTI-CORRUPTION COMMISSION (AMENDMENT) ACT 2018,AKTA SURUHANJAYA PENCEGAHAN RASUAH MALAYSIA (PINDAAN) 2018,2018-04-27,04/05/2018,,1/10/2018 [P.U. (B) 541/2018] except section 4. 1/6/2020 [P.U. (B) 247/2020] - section 4.,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180504_A1567_BI_Act A1567.pdf
204,A1566,LIMITATION (AMENDMENT) ACT 2018,AKTA HAD MASA (PINDAAN) 2018,2018-04-27,04/05/2018,,1/9/2019 [P.U. (B) 329/2019],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180504_A1566_BI_Act A1566.pdf
205,A1565,SUPPLEMENTARY SUPPLY (2017) ACT 2018,AKTA PERBEKALAN TAMBAHAN (2017) 2018,2018-04-05,09/04/2018,10-4-2018,10/04/2018,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180409_A1565_BI_WJW010811 BI.pdf
206,A1564,CARE CENTRES (AMENDMENT) ACT 2018,AKTA PUSAT JAGAAN (PINDAAN) 2018,2018-03-26,29/03/2018,,NOT YET IN FORCE,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180329_1564_BI_WJW010783 BI.pdf
207,A1563,ARBITRATION (AMENDMENT) ACT 2018,AKTA TIMBANG TARA (PINDAAN) 2018,29/12/2017,10/01/2018,,28/2/2018 [P.U. (B) 101/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/Act A1563-2018.pdf
208,A1562,TOURISM INDUSTRY (AMENDMENT) ACT 2018,AKTA INDUSTRI PELANCONGAN (PINDAAN) 2018,29/12/2017,10/01/2018,,1/1/2019 [P.U. (B) 734/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180110_A1562_BI_Act A1562.pdf
209,A1561,MALAYSIAN MARITIME ENFORCEMENT AGENCY (AMENDMENT) ACT 2018,AKTA AGENSI PENGUATKUASAAN MARITIM MALAYSIA (PINDAAN) 2018,29/12/2017,10/01/2018,,11/1/2018,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180110_A1561_BI_Act A1561.pdf
210,A1560,INTELLECTUAL PROPERTY CORPORATION OF MALAYSIA (AMENDMENT) ACT 2018,AKTA PERBADANAN HARTA INTELEK MALAYSIA (PINDAAN) 2018,29/12/2017,10/01/2018,,1/11/2018,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180110_A1560_BI_Act A1560.pdf
211,A1559,MALAYSIAN AVIATION COMMISSION (AMENDMENT) ACT 2018,AKTA SURUHANJAYA PENERBANGAN MALAYSIA (PINDAAN) 2018,29/12/2017,10/01/2018,,9-2-2018 [P.U. (B) 66/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20180110_A1559_BI_Act A1559.pdf
212,A1558,DANGEROUS DRUG (AMENDMENT) ACT 2017,AKTA DADAH BERBAHAYA (PINDAAN) 2017,27/12/2017,29/12/2017,,15/3/2018 [P.U. (B) 127/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/989_BI/ACT A1558.pdf
213,A1557,SUPPLY ACT 2018,AKTA PERBEKALAN 2018,27/12/2017,29/12/2017,,30-12-2017,https://lom.agc.gov.my/upload/portal/akta/outputaktap/aktaBI_20171229_ActA1557.pdf
214,A1556,INCOME TAX (AMENDMENT) ACT 2017,AKTA CUKAI PENDAPATAN (PINDAAN) 2017,27/12/2017,29/12/2017,,30-12-2017,https://lom.agc.gov.my/upload/portal/akta/outputaktap/987_BI/ACT A1556.pdf
215,A1555,LABUAN BUSINESS ACTIVITY TAX (AMENDMENT) (NO. 2) ACT 2017,AKTA CUKAI AKTIVITI PERNIAGAAN LABUAN (PINDAAN) (NO. 2) 2017,27/12/2017,29/12/2017,,30-12-2017,https://lom.agc.gov.my/upload/portal/akta/outputaktap/986_BI/17. Act A1555_unlocked.pdf
216,A1554,PRIVATE EMPLOYMENT AGENCIES (AMENDMENT) ACT 2017,AKTA AGENSI PEKERJAAN SWASTA (PINDAAN) 2017,10/11/2017,30/11/2017,,1-2-2018 [P.U. (B) 51/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/aktaBI_20171130_ActA1554BI.pdf
217,A1553,COMMERCIAL VEHICLES LICENSING BOARD (AMENDMENT) ACT 2017,AKTA LEMBAGA PELESENAN KENDERAAN PERDAGANGAN (PINDAAN) 2017,10/11/2017,30/11/2017,,12/7/2018 [P.U. (B) 378/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/aktaBI_20171130_ActA1553BI.pdf
218,A1552,LAND PUBLIC TRANSPORT (AMENDMENT) ACT 2017,AKTA PENGANGKUTAN AWAM DARAT (PINDAAN) 2017,10/11/2017,30/11/2017,,12/7/2018 [P.U. (B) 377/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/aktaBI_20171130_ActA1552BI.pdf
219,A1551,MERCHANT SHIPPING (AMENDMENT) ACT 2017,AKTA PERKAPALAN SAUDAGAR (PINDAAN) 2017,10/11/2017,30/11/2017,,NOT YET IN FORCE,https://lom.agc.gov.my/upload/portal/akta/outputaktap/aktaBI_20171130_ActA1551BI.pdf
220,A1550,"VALUERS, APPRAISERS AND ESTATE AGENTS (AMENDMENT) ACT 2017","AKTA PENILAI, PENTAKSIR DAN EJEN HARTA TANAH (PINDAAN) 2017",09/10/2017,17/10/2017,,2-1-2018 [P.U. (B) 605/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20171017_A1550_BI_Act A1550 BI.pdf
221,A1549,PREVENTION OF CRIME (AMENDMENT) ACT 2017,AKTA PENCEGAHAN JENAYAH (PINDAAN) 2017,09/10/2017,17/10/2017,,15-12-2017 [P.U. (B) 577/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/6. Act A1549.pdf
222,A1548,LEGAL AID (AMENDMENT) ACT 2017,AKTA BANTUAN GUAMAN (PINDAAN) 2017,09/10/2017,17/10/2017,,1-12-2017 [P.U. (B) 562/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20171017_A1548_BI_Act A1548 BI.pdf
223,A1547,TABUNG ANGKATAN TENTERA (AMENDMENT) ACT 2017,AKTA TABUNG ANGKATAN TENTERA (PINDAAN) 2017,09/10/2017,17/10/2017,,1-11-2017 [P.U. (B) 521/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/978_BI/ACT A1547.pdf
224,A1546,LAW REFORM (MARRIAGE AND DIVORCE) (AMENDMENT) ACT 2017,AKTA MEMBAHARUI UNDANG-UNDANG (PERKAHWINAN DAN PERCERAIAN) (PINDAAN) 2017,09/10/2017,17/10/2017,,15/12/2018 [P.U. (B) 697/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20171017_A1546_BI_Act A1546 BI.pdf
225,A1545,TRADE DESCRIPTIONS (AMENDMENT) ACT 2017,AKTA PERIHAL DAGANGAN (PINDAAN) 2017,09/10/2017,17/10/2017,,"1-1-2018 [P.U. (B) 587/2017]. Notwithstanding subsection (2), section 3 is deemed to have come into operation on 1 November 2011.",https://lom.agc.gov.my/upload/portal/akta/outputaktap/20171017_1545_BI_Act A1545 BI.pdf
226,A1544,PRICE CONTROL AND ANTI-PROFITEERING (AMENDMENT) ACT 2017,AKTA KAWALAN HARGA DAN ANTIPENCATUTAN (PINDAAN) 2017,09/10/2017,17/10/2017,,1-1-2018 [P.U. (B) 586/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20171017_1544_BI_Act A1544 BI.pdf
227,A1543,LEMBAGA KEMAJUAN KELANTAN SELATAN (AMENDMENT) ACT 2017,AKTA LEMBAGA KEMAJUAN KELANTAN SELATAN (PINDAAN) 2017,22/09/2017,03/10/2017,,15-11-2017 [P.U.(B)533/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20171003_A1543_BI_A1543 BI.pdf
228,A1542,LEMBAGA KEMAJUAN JOHOR TENGGARA (AMENDMENT) ACT 2017,AKTA LEMBAGA KEMAJUAN JOHOR TENGGARA (PINDAAN) 2017,22/09/2017,03/10/2017,,15-11-2017 [P.U.(B)532/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20171003_A1542_BI_A1542 BI.pdf
229,A1541,LEMBAGA KEMAJUAN WILAYAH KEDAH (AMENDMENT) ACT 2017,AKTA LEMBAGA KEMAJUAN WILAYAH KEDAH (PINDAAN) 2017,22/09/2017,03/10/2017,,15-11-2017 [P.U.(B)531/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20171003_A1541_BI_A1541 BI.pdf
230,A1540,LEMBAGA KEMAJUAN TERENGGANU TENGAH (AMENDMENT) ACT 2017,AKTA LEMBAGA KEMAJUAN TERENGGANU TENGAH (PINDAAN) 2017,22/09/2017,03/10/2017,,15-11-2017 [P.U.(B)530/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20171003_A1540_BI_A1540 BI.pdf
231,A1539,SECURITIES COMMISSION MALAYSIA (AMENDMENT) ACT 2017,AKTA SURUHANJAYA SEKURITI MALAYSIA (PINDAAN) 2017,22/09/2017,03/10/2017,,24-11-2017 [P.U. (B) 547/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20171003_A1539_BI_A1539 BI.pdf
232,A1538,DOMESTIC VIOLENCE (AMENDMENT) ACT 2017,AKTA KEGANASAN RUMAH TANGGA (PINDAAN) 2017,15/09/2017,21/09/2017,,1-1-2018 [P.U. (B) 601/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20170921_A1538_BI_WJW009193 BI.pdf
233,A1537,STRATEGIC TRADE (AMENDMENT) ACT 2017,AKTA PERDAGANGAN STRATEGIK (PINDAAN) 2017,19/06/2017,21/06/2017,,8-9-2017 [P.U. (B) 433/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/aktaBI_20170621_WJW008723BI.pdf
234,A1536,PENAL CODE (AMENDMENT) ACT 2017,AKTA KANUN KESEKSAAN (PINDAAN) 2017,26/05/2017,02/06/2017,,1-9-2017 [P.U. (B) 410/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/967_BI/038-Act A1536.pdf
235,A1535,PRIVATE HIGHER EDUCATIONAL INSTITUTIONS (AMENDMENT) ACT 2017,AKTA INSTITUSI PENDIDIKAN TINGGI SWASTA (PINDAAN) 2017,26/05/2017,02/06/2017,,28-11-2017 [P.U. (B) 548/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/aktaBI_20170602_ActA1535BI.pdf
236,A1534,BANKRUPTCY (AMENDMENT) ACT 2017,AKTA KEBANKRAPAN (PINDAAN) 2017,10/05/2017,18/05/2017,,6-10-2017 [P.U. (B) 466/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20170518_A1534_BI_Act A1534.pdf
237,A1533,CONSUMER PROTECTION (AMENDMENT) ACT 2017,AKTA PERLINDUNGAN PENGGUNA (PINDAAN) 2017,10/05/2017,18/05/2017,,1-1-2018 [P.U. (B) 569/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20170518_A1533_BI_Act A1533.pdf
238,A1532,LABUAN BUSINESS ACTIVITY TAX (AMENDMENT) ACT 2017,AKTA CUKAI AKTIVITI PERNIAGAAN LABUAN (PINDAAN) 2017,10/05/2017,18/05/2017,,19-5-2017,https://lom.agc.gov.my/upload/portal/akta/outputaktap/963_BI/Act  A1532 BI_unlocked.pdf
239,A1531,JUDGES' REMUNERATION (AMENDMENT) ACT 2017,AKTA SARAAN HAKIM (PINDAAN) 2017,10/05/2017,18/05/2017,,1/6/2017,https://lom.agc.gov.my/upload/portal/akta/outputaktap/962_BI/ACT A1531.pdf
240,A1530,WEIGHTS AND MEASURES (AMENDMENT) ACT 2017,AKTA TIMBANG DAN SUKAT (PINDAAN) 2017,05/10/2017,18/05/2017,,"Not Yet In Force except for paragraphs 2(a) and 11(b) and sections 12 and 13 (19-5-2017).
Paragraph 2(b), sections 3, 4, 5, 6, 7, 8, 9 and 10, and paragraph 11(a)come into operation on 1-8-2017 [P.U.(B)383/2017]",https://lom.agc.gov.my/upload/portal/akta/outputaktap/20170518_A1530_BI_Act A1530.pdf
241,A1529,SUPPLEMENTARY SUPPLY (2016) ACT 2017,AKTA PERBEKALAN TAMBAHAN (2016) 2017,02/05/2017,18/05/2017,,19-5-2017,https://lom.agc.gov.my/upload/portal/akta/outputaktap/aktaBI_20170518_ActA1529BI.pdf
242,A1528,ADVOCATES ORDINANCE (SABAH) (AMENDMENT) ACT 2017,AKTA ORDINAN PEGUAM BELA (SABAH) (PINDAAN) 2017,20/03/2017,30/03/2017,,1-7-2017 [P.U. (B) 294/2017] except Section 23,https://lom.agc.gov.my/upload/portal/akta/outputaktap/20170330_1528_BI_WJW008348 BI.pdf
243,A1527,EVIDENCE (AMENDMENT) ACT 2017,AKTA KETERANGAN (PINDAAN) 2017,31/08/2016,28/02/2017,,1/3/2017,https://lom.agc.gov.my/upload/portal/akta/outputaktap/aktaBI_20170228_WJW008183BI.pdf
244,A1526,CIVIL AVIATION (AMENDMENT) ACT 2017,AKTA PENERBANGAN AWAM (PINDAAN) 2017,17/02/2017,27/02/2017,,19-2-2018 [P.U. (B) 89/2018],https://lom.agc.gov.my/upload/portal/akta/outputaktap/aktaBI_20170227_WJW008182BI.pdf
245,A1525,EMBLEMS AND NAMES (PREVENTION OF IMPROPER USE) (AMENDMENT) ACT 2017,AKTA LAMBANG DAN NAMA (MENCEGAH PENGGUNAAN TAK WAJAR) (PINDAAN) 2017,20/01/2017,26/01/2017,,25-10-2017 [P.U. (B) 508/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20170126_A1525_BI_Act A1525 BI.pdf
246,A1524,BIRTHS AND DEATHS REGISTRATION (AMENDMENT) ACT 2017,AKTA PENDAFTARAN KELAHIRAN DAN KEMATIAN (PINDAAN) 2017,20/01/2017,26/01/2017,,1-8-2017 [P.U. (B) 373/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20170126_1524_BI_Act A1524 BI.pdf
247,A1523,ADMINISTRATION OF ISLAMIC LAW (FEDERAL TERRITORIES) (AMENDMENT) ACT 2017,AKTA PENTADBIRAN UNDANG-UNDANG ISLAM (WILAYAH-WILAYAH PERSEKUTUAN) (PINDAAN) 2017,09/01/2017,16/01/2017,,1/2/2017 [P.U. (B) 67/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/954_BI/Act A1523.pdf
248,A1522,TOWN AND COUNTRY PLANNING (AMENDMENT) ACT 2017,AKTA PERANCANGAN BANDAR DAN DESA (PINDAAN) 2017,09/01/2017,16/01/2017,,NOT YET IN FORCE,https://lom.agc.gov.my/upload/portal/akta/outputaktap/953_BI/Act A1522 BI.pdf
249,A1521,CRIMINAL PROCEDURE CODE (AMENDMENT) ACT 2016,AKTA KANUN TATACARA JENAYAH (PINDAAN) 2016,31/08/2016,23/12/2016,,"1-3-2017 - except sections 17, 18, and 19",https://lom.agc.gov.my/upload/portal/akta/outputaktap/952_BI/Act A1521.pdf
250,A1520,SUPPLY ACT 2017,AKTA PERBEKALAN 2017,19/12/2016,22/12/2016,,23-12-2016,https://lom.agc.gov.my/upload/portal/akta/outputaktap/aktaBI_20161222_WJW007795BI.pdf
251,A1519,MERCHANT SHIPPING ORDINANCE (AMENDMENT) ACT 2016,AKTA ORDINAN PERKAPALAN SAUDAGAR (PINDAAN) 2016,08/12/2016,15/12/2016,,1/3/2017 [P.U. (B) 111/2017],https://lom.agc.gov.my/upload/portal/akta/outputaktap/20161215_1519_BI_WJW007758 BI.pdf
252,A1518,STRATA TITLES (AMENDMENT) ACT 2016,AKTA HAKMILIK STRATA (PINDAAN) 2016,31/08/2016,09/09/2016,,"1-1-2017 [P.U.(B)528/2016 & P.U. (B) 532/2016]comes into opertion in the States of Johore, Kedah, Kelantan, Melacca, Negeri Sembilan, Pahang, Pulau Pinang, Perak, Perlis, Selangor dan Terengganu & [[P.U. (B) 561/2017] comes into operation in the Federal Territory of Kuala Lumpur, the Federal Territory of Putrajaya and the Federal Territory of Labuan",https://lom.agc.gov.my/upload/portal/akta/outputaktap/20160909_A1518_BI_Akta A1518 BI.pdf
253,A1517,LAND ACQUISITION (AMENDMENT) ACT 2016,AKTA PENGAMBILAN TANAH (PINDAAN) 2016,31/08/2016,09/09/2016,,"01/12/2017 [ P.U. (B) 564/2017]
 01/10/2022 [P.U. (B) 474/2022] section 11 of the Act comes into operation",https://lom.agc.gov.my/upload/portal/akta/outputaktap/20160909_A1517_BI_Akta A1517 BI.pdf
